text,label_id,ds
RT @veeveeveeveevee: If I was Obama Id call a press conference &amp; slit joe bidens neck on live tv just 2 show these crackers I mean business&#8230;,1,hate
@Buckm00se @letsargueboxing sand nigger ran over some Kidd,1,hate
"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",1,hate
RT @UNCLERUCKUS_BD: Being a nigger isn't a color it's a state of mind,1,hate
TRUST ME when I say that #JesusChrist would be KILLING #faggots if he came back to life in today's day and age&gt; #Spartacus #Rome,1,hate
"@RevolutionUK_ Jesus I would love to do that and more to those muzzie torturers, fucking animal savages",1,hate
@klejdys He may be 'hustlin' but he studied Critical (Race) Theory and 'my people' Holder is getting his 'revenge.' They hate whitey.,1,hate
@RSBerto Dumb Haitian fake black faggots. Go to Haiti and neck yourself.,1,hate
"""You ain't gunna do shit spear chucker""",1,hate
@illbreatheyouin happy birthday faggot.,1,hate
@Arbogucci guys not supposed to get their ass sucked queer,1,hate
RT @beethetranny: can we please stop talking about how some scumbag faggots mugshot is sexy? you dumb whores.,1,hate
RT @TrueNovacane: Only pussy niggas wouldn't fuck with a chick if she has stretch marks..,1,hate
"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an",1,hate
"RT @ASAP_Ford: I hate when a nigga ask me ""Where the hoes?"" .... Nigga idfk !",1,hate
RT @FunnyPicsDepot: pussy ass nigga http://t.co/lXONrmTQTK,1,hate
@UberFacts studies show that you're a faggot,1,hate
@Joey_D26 sweet comeback u fuckin herb I dnt watch soccer but id still wax your bitch ass in it go swallow the red soxs kids ur from NYC fag,1,hate
Your retarded.,1,hate
"If a spic ever talks to a white person and the white person kills them, it's self defense.",1,hate
"I'm starting to not like meek, this nig a lil to arrogant for me",1,hate
"Fuckin' #faggots, man. #science knows these FUCKS can't procreate without the help of ""breeders"" but we treat them #fancy? #sin",1,hate
&#8220;@_BitchBUH: Shoot that nigga and his shorty bitch &#128299;&#128514;&#8221; &#8252;&#65039;&#8252;&#65039;,1,hate
Smh hate that hoe,1,hate
RT @Lady_BlahBlah: furrybah *in my PayPay voice* RT @80sbaby4life: The hoes are for EVERYBODY my nigga!,1,hate
Seeing ugly bitches get pregnant let's me know that nigga swill fuck anything with a pussy. Alcohol is no longer the excuse. You was pressed,1,hate
cant trust niggas when it come to bitches,1,hate
Kanye west is a faggot,1,hate
RT @ivanrabago_: @staycoolwheels @Studhardt22 Joshua is a faggot. Just suspend him on those grounds,1,hate
fat bitches fat bitches heeeey,1,hate
@Brenddan_ they said some bullshit. Damn niggers,1,hate
Fucking redneck queers and their game invites,1,hate
Johnny Rebel - If I could be a nigger for a day: http://t.co/JPKdkpbjxh,1,hate
RT @BroganWebber: Beyonc&#233; is trash.,1,hate
@MakeAnothaHov T.o. was a faggot crybaby,1,hate
Niggas/bitches cheat cause mf's always think they gettin played,1,hate
@marclamonthill will you mention why being called nigger is wrong(witch i agree with) &amp; bossy is wrong.but being called a pimp is still ok?,1,hate
@jayswaggkillah Is a fag,1,hate
"@HarveyLevinTMZ @sly309 they want what I got, I want what they got, America.they got the word nigger, I want it to",1,hate
Fuck Ur god until dat faggot strikes me down,1,hate
@FrankieJGrande fugly queer white trash,1,hate
@Lovelesslovely @Kwitchabichen25 hey aklve! Im taking out the black ghetto trash. Youre blocked nigger,1,hate
"""fuck you you pussy ass hater go suck a dick and die quick"" - Someone, to me, in Youtube comments. I think we'd be good friends.",1,hate
@jumpmastere8 @dmcgowen1776 @visitorvisiting its retarded,1,hate
@JGardenofEden @KySportsRadio @ryanlemond But...country music listeners really are hicks and alcoholics &#128514;&#128514;,1,hate
Sick of your coon antics RT @POONsoaker: Accuracy RT @Thotcho: &#8220;Henny &gt; water&#8221; &#128128;&#128128;&#128128;,1,hate
You a hoe if you crying because yo ass pregnant. It was all smiles while you was riding that dick bitch.,1,hate
@mflagginski I live in the eye of a white trash hurricane. Milwaukie OR. Where people use bikes BC of DUI's not to save the environment.,1,hate
"@Roscoedash lmao, soft ass nigga trying to act all tough, you a little bitch. Sit down and watch from the sidelines pussy.",1,hate
"Chasing these hoes, better get cash nigga",1,hate
RT @occdissent: Ann Coulter admits on FOX News that America has a negro problem. #crime #tcot #gettingreal,1,hate
Senator @tedcruz is an anchor baby! Go back from where you came. #natural #born #Canadian,1,hate
@Newser big fucking deal...cry baby niggers,1,hate
"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!",1,hate
You like them bitch niggas.,1,hate
For all we know this nigga a rapist. Y'all hoes dumb &#8220;@daniellathepimp: *melts* http://t.co/RRROzn5bdy&#8221;,1,hate
@seannn181 youre a fag,1,hate
"&#8220;@thejanicexxx: o u unfollowed me so i can't dm u, so i'll say it here, you're a rude cunt lmao&#8221; you can dm me",1,hate
@CBSThisMorning @charlierose racist @NorahODonnell tx trash racist why wld u intvw @MittRomney n ask racist questions itwas so disrespectful,1,hate
",@KiroGx me gusta ""typing like a retard to make the other person look dumber by pretending to agree with them"" bazinga",1,hate
@wutkarina Alright fag,1,hate
Shoot that nigga an his shorty bitch .,1,hate
"RT @boburnham: In the future, gay culture will be considered cool by America's teens and instead of wiggers there will be straggots.",1,hate
Smh queer,1,hate
Some of these hood negros don't deserve bail money the way they be visiting jail.,1,hate
When a pussy nigga socks you and doesn't knock you out.,1,hate
@hunterbuch66 @kieffer_jason @sbsylvester all u can pull is the fucking retard,1,hate
"If you kill all cops and cracker babies, what next?????? Black states, white states, and Latino states? Isn't that moving backwards?",1,hate
"Dad just yelled out ""in bout to fry some chicken like a nigger""",1,hate
"I wasn't calling you a faggot, but you are one lol.",1,hate
"@hekterr don't stop now half breed, I'm just starting to learn about what makes you a dumb ass",1,hate
fat dykes make me want to vomit,1,hate
@AnimeKing420 fight me 1 on 1 ur choice of game faggot see what happens,1,hate
"RT @marylene58: ""@maggietanquary: shes one of the ugliest women Ive ever seen. Cross between a reptile and a crow."" http://t.co/jsyAoguP4S",1,hate
Jai may make an appearance at the party... love that fag,1,hate
Devin Hester's a bitch,1,hate
@Brenddan_ wow!!! Are you comin back up here? &#128514;&#128514;&#128514;&#128514; they some bitch niggas,1,hate
I didn't forsake all other bitches for my wife to be getting fucked on by another nigga. and you know she married? you gotta die.,1,hate
RT @RosieZaya1: Ur fucking white trash,1,hate
@Walmart fuck your store bitch,1,hate
@jakiekoelewijn nigga who's bitch u fucking cracker get your gay ass out my mentions.,1,hate
@darthdanaa Yes you do retard.,1,hate
Niggah niggah niggah don't believe me just wacthh...,1,hate
"&#8220;@dnumberbefore2: &#8220;@Vice504fly: @dnumberbefore2 u a regular nig, u played out b&#8221; lol ima b Ig famous&#8221;these days that counts for somethin",1,hate
@asshole_king oh no. They drafted that gay ass that come out on TV? Well u welcome to Redskins nation. No queers just a lot of niggers.,1,hate
It's levels to my bitch you can't fuck her nigga cause she like red bottom you can't afford her nigga she got Benz you riding honda accord,1,hate
RT @DestroTheNoble: I don't support that ya idiot. And if I'm a teabagger you're being teabagged. #OpenWide @nekolin @1SleepingGiant,1,hate
@AlfieHeydrich but I live in the South. Lot more here. My pop lives in Rhode Island. Hardly no niggers there.,1,hate
Every spic cop should be killed. Those pigs only got their job to 'get even' but white people never did anything to them.,1,hate
@jimachterfeld @joeo670 @dan_bernsein Bernstine is Chi Sox Jew fag.,1,hate
I'm already tired and mr stupid af decides to show us a video on trigonometric notions so um yeah I just wanted to say you're a hoe,1,hate
@RniSwirvinn @LilKev_J no ur wrong stupid nigger,1,hate
I know righttt RT @dta_87: I hate fat loud bitches,1,hate
@HuffingtonPost y don't that bitch just shoot herself? so sick of all those whores!,1,hate
@kitten_nugget69 stfu dyke looking hoe.,1,hate
#firefighter is a job for white trash,1,hate
"Everyone calls me ""b"" they be like oh wassup b &#128524; and I be like wassup my niggah",1,hate
@MorbidMermaid do you work today niglet?,1,hate
@Campos_uli is a fag #hesgay,1,hate
"@_IAMKEN fuck Brett Farve redneck ass, he stuckup he don't give a damn lol he be on campus acting like he the shit",1,hate
@YungRajee Shit ill pay the premium to get away from these anything ass hoes,1,hate
RT @CuhCuhCraig: Is that Kawhi Leonard? Smh RT &#8220;@iDntWearCondoms: Wow u really gonna leak ou.. Nvm RT @MsJoseline: Ion need I fuc nig http:&#8230;,1,hate
Bitch you're the ugliest cunt ever.,1,hate
"RT @sblmnl_crmnl: @woods_lamar shut your nigger ass, lamar",1,hate
RT @NoWomanIsRight: You can be a good girl all you want and those hoes still gonna get us niggas attention from time to time,1,hate
@GlitteredInPink hoe don't tweet me,1,hate
The #south of the US is white trash.,1,hate
Bald head bitches think it's their time to prosper !,1,hate
RT @sorryimalex: I got called a faggot for buying girl toms so now I'm gonna fuck that person in the ass,1,hate
@asshole_king pats owner is a kike.,1,hate
@DavetheBrave1 that hoe on some other shit bro rt and 100x better rn that a nigga high,1,hate
@FreeAJay you understand you look like a real life dyke right? Like you look like a WNBA dyke bro. A sports bra &amp; bball shorts wearing dyke,1,hate
"Jennifer Lawrence's nudes sooooo trash. Im still smashin though, no doubt",1,hate
RT @saramariewelch: Been my main nigguh since digital camera selfies @thorpe_emily http://t.co/XiQiRbQ7mP,1,hate
You're just another nigguh.,1,hate
@ktpowers98 @WendyDavisTexas Ha Ha Ha no good fat dyke,1,hate
"RT @Cuzimdaddy_: !!! @5feet_0inches is dis wrong??? ""@_100d: If you fuck wit a lame nigga you a lame bitch""",1,hate
@hellootitty nigger,1,hate
Come on nd get that chicken niggers love dat chicken from popeyes http://t.co/YjFh2HaVav,1,hate
@mlvassallo Oh really? fags are gross You aids infected sick fuckers,1,hate
"Fuck that niggah he so weak, he cant tell that you a freak",1,hate
"""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a nigger knife"" &#128563;",1,hate
"@infidelpamelaLC I'm going to blame the black man, since they always blame ""whitey"" I'm an equal opportunity hater.",1,hate
@BossAce555 @Sounds_good_bro @BloggerBoxing yea u stupid faggot. I'm not leaving till like 5-6pm. Want a ride?,1,hate
These people are fags.,1,hate
RT'in your own shit now pussy what a joke you'd end up just like all the rest no show chicken shit mother fucker,1,hate
Man I swear today's like nation hit tony while he's driving day.... This chink almost smashed into me...,1,hate
2 hoes 1 dyke,1,hate
@DolanGang you wouldn't know fag,1,hate
"I would like to apologize to anyone I have called fat, stupid, gay, nigger, jew or retarded. I am truly sorry.... 

JK 

Just trolling

Fags",1,hate
#DTLA is trash because of non-Europeans are allowed to live there.,1,hate
RT @JoeCaroselli1: Jameis Winston is a nigger,1,hate
@MenachemDreyfus @NatlFascist88 @waspnse Shit your ass and shabbat your moms pussy u Jew bastard. Ur times coming. Heil Hitler!,1,hate
@ItsKeeshKapeesh *yourself *faggot buy a dictionary,1,hate
@DeezNutsDoe how about you wash my butthole out with your tongue you little faggot,1,hate
I knows y'all white folk only be playin wit me. I colored and I knows my place,1,hate
"It's time to mock ""Halftime in America."" How 'bout ""Wake up America,"" we have radical leftists running the country. http://t.co/9Eyi0K8w",1,hate
Them queer ass shorts Rabchenko got on,1,hate
"@SophieRo3 if only there was a medal for that: ""we hate fags, but we won't kill them"" medal. Thank u for the privilege to let fags live.",1,hate
I'm just upset they got faggots on this show,1,hate
"RT @BenjaminNorton: Remember the ""yellow badge"" Nazis used? 
Israel is making Muslim women carry a yellow badge order to pray in Al-Aqsa.
h&#8230;",1,hate
Must have been a light skin hoe &#8220;@CampaignMindy: Lmfao wtf she mean af &#128557;&#128557;&#8220;@TrickingGawd: HE WASNT READY BRUH RIP!! http://t.co/lJRqrdBMfi&#8221;&#8221;,1,hate
Don't mind black people.....hate niggers!,1,hate
@el_prietito @lovexlilyy Them jigaboos aka homewreckers needs to get blocked!,1,hate
"@KuntaKayne I have never seen such ignorant, illiterate pieces of shit in my life. Bring in Natl Guard &amp; disperse this trash. @bassem_masri",1,hate
People who play #roleplayinggames are human filth and don't deserve the same respect you'd give a mosquito. They're soulless gutter trash.,1,hate
"Peace fags, just remember I'm best Lux support NA. Drop LustBoy pick me and Kakao up TSM.",1,hate
@BillRatchet @VottomanEmpire place pussy on stache let pussy take ride,2,hate
stupid bitch&#8230;&#8230; count to H and get off my phone,2,hate
These bitches really marry to some rich ass niggas,2,hate
"@dropdeadfred11 money can get you good weed, but not always the best of pussy. Sorry my friend (: guess",2,hate
I called at least 20 times to make my hair appointment and these bitches don't pick -.- guess I have to stop in to make an appointment #Grrr,2,hate
@DirtyEaffiliate he loves juggling it all around it... he loves the fast life im sure hes already grinded on amcon hoes as well,2,hate
Shoot that nigga &amp; his shorty bitch &#128143;&#128299;,2,hate
This nigga on the train treating his bitch over the phone lmao,2,hate
#WhyIHateInstagram it can make a bitch cheat up to four points on the scale of 1 to 10,2,hate
@Iemonaids @drugulaa some of them bitches give you more than a virus,2,hate
"Im done with life""@Gmel_Genuine: Im just ready to wake up and have pussy for breakfast everyday""",2,hate
&#8220;@royalriahh: Fake bitches I don't want your hugs&#8221;,2,hate
My phone acting retarded,2,hate
"RT @baddiewhitt_: the older i get the less i give a fuck &#128514;&#9996; , beef &#128074; ? bitch please &#9995; loosing friends? bitch bye &#128514;&#128075; drama ? ill pass &#128080;&#128683;",2,hate
RT @DatNigPriest: @1BookieG not all of us my nig! I'm light skin with a dark skin mentality lol. We all black,2,hate
You girls needa stop with the edits. Damn near got catfished a week or two ago and the bitch keeps findin her way back&#128530;&#128548;&#128165;&#128299;&#128553;,2,hate
"I'm ready to cry I'm so mad, like me &amp; this bitch gon have to fight.",2,hate
&#8220;@colormeprettyyy: @xo_tavia bitch im back at home now.&#8221; &#128514;,2,hate
RT @letsargueboxing: @staycoolwheels screaming like a little bitch lmaooo,2,hate
"@chanelisabeth I'm subtweeting my sister, hoe",2,hate
&#8220;@Condeezy3: What to do after the game....home alone and nothing to do...someone come chill?:) maybe go swimm&#8221; ima do ya bitch,2,hate
"@ajbruno14 @JamesOKeefeIII @jdhayworth nope, it's a term used to mock teabagger scum like all three of you. Better luck next time, pal.",2,hate
pussy is a joke you can either get it or not get it.,2,hate
"Sam is such a bitch, Ronnie got in a fight because of you &#128530;",2,hate
"""U got my 200K bitch nigga""--Al Haymon to Antonio Tarver",2,hate
RT @diplo: guns are fucking corny put down your assault rifles and knuckle up.. i wanna go hand to hand with all the NRA pussy ass spoke ...,2,hate
"I hate when bitches keep saying ""yassss like"" like bitch u sound stupid stfu",2,hate
These days bitches be just letting anyone hit raw !!,2,hate
RT @stephanielazox: Hope you got what you wanted bitch.,2,hate
You got niggas and I got bitches,2,hate
"@BLHolla Me, too! :-D Dick and pussy is too precious to give up and be ruined by some bullshit that was done to me.",2,hate
"@IHuntGoblins @Sinatraa_ every time I beat you I'm ""being a faggot"" maybe I'm just being better than you lmao",2,hate
